"","file","mission","program_name","DoD_component"
"11","15-F-0540_VXX_June_2014_SAR.pdf","The Presidential Helicopter Fleet Replacement (VXX) program mission is to provide safe, reliable, and timely transportation for the President, Vice President, Foreign Heads of State, and other official parties as directed by the Director of the White House Military Office. Presidential helicopter transportation requirements are executed by Marine Helicopter Squadron One (HMX-1) and support the President worldwide and the Vice President primarily inside the National Capital Region. Mission tasking encompasses two (2) main types of missions, administrative lift (Mission Tasking 1) and contingency operations (Mission Tasking 2). The VXX platform will replace both In-Service aircraft (VH-3D and VH-60N) and is based on Sikorsky's commercial S-92A helicopter. The acquisition strategy for the VXX program involves integration of mature government- defined mission systems and an executive interior into the existing S-92A air vehicle.","Presidential Helicopter Fleet Replacement (VXX)","Navy"
"12","16-F-0402_DOC_01_AEHF_DEC_2015_SAR.pdf","Advanced Extremely High Frequency Satellite (AEHF) is a joint service satellite communications system that provides global, survivable, secure, protected, and jam-resistant communications for high priority military ground, sea, and air assets. The system consists of four satellites in Geosynchronous Earth Orbit that provide 10 times the capacity of the 1990s-era Milstar Block II satellites. The system provides continuous 24-hour Extremely High Frequency Extended Data Rate coverage between 65 degrees north and 65 degrees south latitude. AEHF allows the National Security Council and Combatant Commanders to control their tactical and strategic forces at all levels of conflict up to and including general nuclear war, and it supports the attainment of information superiority.","Advanced Extremely High Frequency Satellite (AEHF)","Air Force"
"13","16-F-0402_DOC_02_B61_Mod_12_LEP_TKA_DEC_2015_SAR.pdf","The B61 Mod 12 Life Extension Program (LEP) will consolidate Mods 3, 4, 7 and 10 into a single Mod (B61-12) while extending the system's service life. B61-12 is an air-delivered nuclear gravity weapon providing nuclear capability on existing legacy aircraft and dual capable aircraft. The single variant will operate in two modes, System 1 (analog/ballistic mode) and System 2 (digital/guided mode).","B61 Mod 12 Life Extension Program Tailkit Assembly (B61 Mod 12 LEP TKA)","Air Force"
"14","16-F-0402_DOC_03_C-130J_DEC_2015_SAR.pdf","The C-130J Hercules Transport Aircraft (C-130J) is a medium-range, tactical airlift aircraft designed primarily for transport of cargo and personnel within a theater of operations. Variants of the C-130J perform other missions including rescue and recovery, air refueling, special operations, fire-fighting and weather reconnaissance.","C-130J Hercules Transport Aircraft (C-130J)","Air Force"
"15","16-F-0402_DOC_04_CRH_DEC_2015_SAR.pdf","The Combat Rescue Helicopter (CRH) system will provide Personnel Recovery (PR) forces with a vertical takeoff and landing aircraft that is quickly deployable and capable of main base and austere location operations for worldwide PR missions. CRH system activities may be required during any phase of a service/joint/coalition operation, across the full range of military operations, in any land or sea location, within the areas covered by the relevant defense planning scenarios.","Combat Rescue Helicopter (CRH)","Air Force"
"16","16-F-0402_DOC_05_EELV_DEC_2015_SAR.pdf","The mission of the Evolved Expendable Launch Vehicle (EELV) program is to acquire launch services to provide critical space support required to satisfy DoD warfighter, national security, and other Government spacelift missions while fostering interagency and commercial cooperation. This mission includes the execution of flight worthiness certification processes and booster-to-satellite mission integration to maintain assured access to space and achieve 100% mission success.","Evolved Expendable Launch Vehicle (EELV)","Air Force"
"17","16-F-0402_DOC_06_FAB-T_DEC_2015_SAR.pdf","The Family of Advanced Beyond Line-of-Sight Terminals (FAB-T) program will develop nuclear event-survivable terminals capable of communicating with the Milstar and Advanced Extremely High Frequency (AEHF) satellite constellations using both the Extremely High Frequency and AEHF jam-resistant, low probability of intercept and low probability of detection waveforms. These terminals will be an essential component of the strategic nuclear execution system.","Family of Beyond Line-of-Sight - Terminals (FAB-T)","Air Force"
"18","16-F-0402_DOC_07_HC_MC-130_Recap_DEC_2015_SAR.pdf","The HC/MC-130 Recapitalization Aircraft (HC/MC-130 Recap) will replace the HC-130P/N tanker aircraft that currently support Personnel Recovery. These tankers are currently operated by active duty Air Reserve Components. The MC-130 Recap aircraft will replace the legacy MC-130P/E tanker aircraft currently operated by the Air Force Special Operations Command. Most of these aircraft are more than 35 years old and are burdened by multiple unique aircraft configurations. These multiple configurations create significantly increased maintenance and sustainment challenges.","HC/MC-130 Recapitalization Aircraft (HC/MC-130 Recap)","Air Force"
"19","16-F-0402_DOC_08_ICBM_Fuze_Mod_DEC_2015_SAR.pdf","The mission of the Air Force Intercontinental Ballistic Missile Fuze Modernization program is to develop and produce a form, fit, functional replacement Mk21 Arming and Fuzing Assembly for the legacy Mk21 fuze, which is utilized with the W87 warhead.","Air Force Intercontinental Ballistic Missile Fuze Modernization (ICBM Fuze Mod)","Air Force"
"20","16-F-0402_DOC_09_JDAM_DEC_2015_SAR.pdf","The Joint Direct Attack Munition (JDAM) program is a joint Air Force/Navy program with the Air Force as the lead acquisition service. Designated Acquisition Category IC, this program upgrades the existing inventory of general purpose bombs (MK- 84, BLU-109, MK-82 and MK-83) by integrating the bombs with a field installed guidance kit using a Global Positioning System Aided Inertial Navigation System. JDAM provides an accurate, adverse weather capability. JDAM is integrated with the B-52H, B-2A, B-1B, F-16C/D, F/A-18A+/C/D/E/F, F-15E, A-10C, AV-8B and F-22A aircraft. Follow-on integration with the MQ-9 and F-35 Joint Strike Fighter are in progress.","Joint Direct Attack Munition (JDAM)  DSN Fax:","Air Force"
"21","16-F-0402_DOC_10_KC-46A_DEC_2015_SAR.pdf","The KC-46A Tanker Modernization (KC-46A) will replace the U.S. Air Force's aging fleet of Tankers which have been the primary refueling aircraft for more than 50 years. The KC-46A will have enhanced refueling capabilities with greater capacity, and both cargo and aeromedical evacuation with improved efficiency and increased capabilities. The KC-46A will provide aerial refueling support to the United States Air Force, Navy, and Marine Corps, as well as allied nation coalition aircraft.","KC-46A Tanker Modernization (KC-46A)       DSN Fax:        785-6350","Air Force"
"22","16-F-0402_DOC_11_OCX_DEC_2015_SAR.pdf","The Global Positioning System (GPS) is a space-based positioning, navigation, and timing distribution system, which operates through weather and electromagnetic environments (jamming, spoofing, etc.). GPS supports both civil and military users in air, space, sea, and land operations. GPS is a satellite-based radio navigation system that serves military and civil users worldwide. GPS users process satellite signals to determine accurate position, velocity, and time. GPS must comply with section 2281 of title 10, United States Code (USC), which requires that the Secretary of Defense ensures the continued sustainment and operation of GPS for military and civilian purposes and section 50112 of title 51, USC, which requires that GPS complies with certain standards and facilitates international cooperation.","Next Generation Operational Control System (OCX)","Air Force"
"23","16-F-0402_DOC_12_SBIRS_High_DEC_2015_SAR.pdf","The Space Based Infrared System High (SBIRS High) program is intended to satisfy key requirements delineated in the SBIRS ORD dated August 15, 1996, with Annex 1 dated July 17, 1998, within the available budget and schedule. SBIRS High is an integrated system consisting of multiple space and ground elements, with incremental deployment phasing, simultaneously satisfying requirements in the following mission areas: Missile Warning, Missile Defense, Technical Intelligence and Battlespace Awareness. The constellation architecture for SBIRS High includes Highly Elliptical Orbit (HEO) sensors and Geosynchronous Earth Orbit (GEO) satellites, in addition to the following ground elements: a Continental United States-based Mission Control Station and Mission Control Station Backup, overseas Relay Ground Stations, Mobile Ground Stations, and associated communication links. The first increment of the SBIRS ground system was certified for operations in December 2001 and supports mission processing of the legacy Defense Support Program system satellites and fusion of HEO monotracks and other data. The SBIRS HEO system was certified for the Integrated Tactical Warning/Attack Assessment (ITW/AA) mission in November 2008 and technical intelligence mission in August 2009. The SBIRS GEO 1 and 2 systems were ITW/AA mission certified in August 2013 and December 2013, respectively.","Space Based Infrared System High (SBIRS High)","Air Force"
"24","16-F-0402_DOC_13_AWACS_Blk_40-45_Upgrade_DEC_2015_SAR.pdf","The Airborne Warning and Control System (AWACS) provides a highly mobile, flexible, survivable theater Battle Management (BM), Wide Area Surveillance, and Command and Control (C2) capability. It is capable of detecting, identifying, and tracking airborne and maritime targets at extended ranges as well as identifying air/ground emitters. AWACS can relay ""big picture"" information to C2 agencies and friendly aircraft. AWACS provides worldwide response to situations requiring immediate on-scene C2/BM using embedded real-time surveillance for employment of US and allied combat air forces. AWACS is critical to gaining and maintaining battle-space air superiority. AWACS coordinates with both tactical and C2 assets in theater to execute the air mission.","Airborne Warning and Control System Block 40/45 Upgrade (AWACS Blk 40/45 Upgrade)","Air Force"
"25","16-F-0402_DOC_14_AMRAAM_DEC_2015_SAR.pdf","The Advanced Medium Range Air-to-Air Missile (AMRAAM) AIM-120 program provides for the acquisition and upgrade of the most advanced all-weather, all-environment medium range air-to-air missile system in response to United States Air Force, United States Navy, North Atlantic Treaty Organization, and other Allied operational requirements through 2024. Designed to replace the AIM-7 Sparrow, the system is an active radar guided intercept missile with inherent Electronic Protection capabilities for air-to-air applications against massed penetration aircraft. The AIM-120D, currently in production, provides improved accuracy via Global Positioning System aided navigation, improved network compatibility, and enhanced aircrew survivability via a two-way datalink capability. The AIM-120D reached IOC for the United States Air Force and Navy in 2015.","AIM-120 Advanced Medium Range Air-to-Air Missile (AMRAAM)","Air Force"
"26","16-F-0402_DOC_15_B-2_EHF_Inc_1_DEC_2015_SAR.pdf","The aging Ultra High Frequency (UHF) Military Satellite Communications (MILSATCOM) system is being phased out and replaced by the Advanced Extremely High Frequency (AEHF) Satellite Communications (SATCOM) system.","B-2 Extremely High Frequency SATCOM and Computer Increment 1 (B-2 EHF Inc 1)","Air Force"
"27","16-F-0402_DOC_16_C-5_RERP_DEC_2015_SAR.pdf","The C-5 Reliability Enhancement and Re-engining Program (C-5 RERP) is the second phase of a two-phase modernization program for the C-5. The Avionics Modernization Program was Phase I and is the baseline for C-5 RERP. Following completion of Phase II, C-5 RERP, the aircraft is designated a C-5M. C-5 RERP is a comprehensive modernization effort that will improve aircraft reliability, maintainability, and availability. C-5 RERP will enable the C-5M to achieve wartime mission requirements by increasing fleet availability (mission capable rates and departure reliability), reducing total ownership costs, and improving aircraft performance. This effort centers on replacing the current TF39 engine with a more reliable, commercial off-the-shelf General Electric (GE) CF6-80C2 (F138-GE-100 military designation) turbofan engine with increased takeoff thrust, stage-3 noise compliance, and Federal Aviation Regulation pollution compliance. In addition to new engines/pylons, C-5 RERP will provide upgrades to wing attachment fittings; new thrust reversers and auxiliary power units; upgrades to the electrical, hydraulic, fuel, fire suppression, landing gear, and pressurization/air conditioning systems; and airframe structural modifications. These aircraft improvements increase payload capability and access to communication, navigation, surveillance/air traffic management airspace. C-5 RERP also decreases aircraft time-to-climb, increases engine -out climb gradient for takeoff, improves transportation system throughput, and decreases engine removals.","C-5 Reliability Enhancement and Re-engining Program (C-5 RERP)","Air Force"
"28","16-F-0402_DOC_17_EPS_DEC_2015_SAR.pdf","The Enhanced Polar System (EPS) provides continuous protected communication (low probability of interception and detection) over the north polar region using two communications payloads on classified host satellites in highly elliptical Molniya orbits.","Enhanced Polar System (EPS)","Air Force"
"29","16-F-0402_DOC_18_F-22_Inc_3-2B_Mod_DEC_2015_SAR.pdf","The F-22's combination of stealth, supercruise, maneuverability, Intra-Flight Data Link (IFDL), sensor fusion coupled with improved supportability provides an exponential leap in warfighting capabilities and allows full realization of operational concepts vital to the 21st Century Air Force and joint warfighting anti-access area denial environment. As a critical component of the Global Strike Concept of Operations, the F-22 provides unmatched air-to-air and air-to-ground capabilities.","F-22 Increment 3.2B Modernization (F-22 Inc 3.2B Mod)","Air Force"
"30","16-F-0402_DOC_19_GBS_DEC_2015_SAR.pdf","The Global Broadcast Service (GBS) is an extension of the Global Information Grid that provides worldwide, high capacity, one-way transmission of video (especially from Unmanned Aerial Vehicles), imagery and geospatial intelligence products, and other high-bandwidth information supporting the nation's command centers and joint combat forces in garrison, in transit, and deployed within global combat zones. It employs readily available satellite-based commercial technologies that are relatively inexpensive and easily integrated into existing systems and processes, yet are not so unwieldy as to be unusable by smaller and more mobile units. To this end, GBS currently uses broadcast payloads on two Ultra-High Frequency Follow-On satellites and the Wideband Global Satellite Communications constellation.","Global Broadcast Service (GBS)","Air Force"
"31","16-F-0402_DOC_20_GPS_III_DEC_2015_SAR.pdf","Global Positioning System (GPS) is a satellite-based radio navigation system that provides worldwide military and civil users satellite signals they can process to determine accurate position, velocity, and time. On May 8, 2000, the USD(AT&L) approved entry into the initial modernization efforts for Navstar GPS. GPS III, an Acquisition Category ID program, is the next generation space vehicle (SV) that will provide significant enhancements to complete the modernization of the constellation. GPS III complies with 10 United States Code (USC) § 2281, ensuring the continued sustainment and operation of GPS for military and civilian purposes, and 51 USC § 50112, continuing as an international standard available on a continuous worldwide basis free of direct user fees.","Global Positioning System III (GPS III)  DSN Fax:        633-3005","Air Force"
"32","16-F-0402_DOC_21_JASSM_DEC_2015_SAR.pdf","Introduction: The Joint Air-to-Surface Standoff Missile (JASSM) is a next generation cruise missile enabling the U.S. Air Force to destroy the enemy's war-sustaining capabilities from outside its area air defenses. It is precise, lethal, survivable, flexible, and adverse-weather capable. JASSM's inherent accuracy (three meters (m) or less using the Imaging Infrared (IIR) seeker and less than 13 m with Global Positioning System (GPS)/Inertial Navigation System (INS) only) reduces the number of weapons and sorties required to destroy a target.","Joint Air-to-Surface Standoff Missile (JASSM)  DSN Fax:        872-5394","Air Force"
"33","16-F-0402_DOC_22_MQ-9_Reaper_DEC_2015_SAR.pdf","Mission: The MQ-9 Reaper Unmanned Aircraft System (MQ-9 Reaper) is a multi-mission Hunter-Killer and Intelligence, Surveillance and Reconnaissance (ISR) system, which provides the combat commander with a persistent capability to find, fix, track, target, engage and assess Time Sensitive Targets. In the Hunter-Killer mission, the MQ-9 Reaper offers the commander a choice of weapons including the Hellfire Air-to-Ground Missile, Laser Guided Bombs and Joint Direct Attack Munitions. In the ISR role, the MQ-9 Reaper's ability to fly for up to 14 hours at altitudes up to 50,000 feet while carrying up to 3,000 pounds on the wings make it the platform of choice for a number of ISR and strike missions. This ability to support a wide variety of operations results in a steady stream of requirements to develop new capabilities to support an expanding array of missions. As a result of the combat deployment of the developmental system, the MQ-9 Reaper is supported and maintained by Contractor Logistics Support personnel and organic Air Force personnel.","MQ-9 Reaper Unmanned Aircraft System (MQ-9 Reaper)","Air Force"
"34","16-F-0402_DOC_23_SDB_II_DEC_2015_SAR.pdf","Small Diameter Bomb Increment II (SDB II) is a joint interest United States Air Force (USAF) and Department of the Navy (DoN) ACAT ID program, with the USAF as the lead service. SDB II provides the warfighter the capability to attack mobile targets from stand-off, through weather. The threshold aircraft for the USAF is the F-15E and the threshold aircraft for the DoN are the F-35B and F-35C. Objective aircraft include the F-16, F/A-18E/F, F-22A, F-35A, B-1B, B-2, B-52, A-10, MQ-9, and AC-130. SDB II will be compatible with the Bomb Rack Unit (BRU-61/A) and the Joint Miniature Munitions BRU (BRU- 61A/A) miniature munitions carriages, the CNU-660/E carriage system, the Common Munitions Bit and Reprogramming Equipment and the Joint Mission Planning System. The SDB II Program will develop and field a single-weapon USAF storage container and a dual DoN weapon storage container.","Small Diameter Bomb Increment II (SDB II)  DSN Fax:        872-2438","Air Force"
"35","16-F-0402_DOC_24_Space_Fence_Inc_1_DEC_2015_SAR.pdf","The Space Fence Ground-Based Radar System (Space Fence) replaces the mission of the Air Force Space Surveillance System (AFSSS) Very High Frequency (VHF) ""fence"" radar that performed detection of orbiting space objects before decommissioning in FY 2013. The Space Fence mission is to improve Space Situational Awareness by fielding a capability to detect and report small objects in Low Earth Orbit/Medium Earth Orbit (LEO/MEO). The system, comprising one operations center and two radar sites operating at S-band frequencies, will have a modern, net-centric architecture. Fielded capabilities will include uncued capability to find, fix and track small objects in LEO/MEO; improved completeness and accuracy of the space catalog; improved timeliness of orbital event information; and support for improved characterization of space objects.","Space Fence Ground-Based Radar System Increment 1 (Space Fence Inc 1)","Air Force"
"36","16-F-0402_DOC_25_WGS_DEC_2015_SAR.pdf","Wideband Global SATCOM (WGS), previously reported as Wideband Gapfiller Satellites, is a constellation of the Department of Defense's highest capacity communication satellites. WGS augments the Defense Satellite Communications System III and the Global Broadcast Service Phase II. WGS is a fully duplexed communications platform offering warfighters a significant increase in capacity, connectivity and interoperability. It provides high capacity and digitally channelized service at both X and Ka frequency bands, opening up a new 2-way Ka communication capability. This highly flexible communications satellite design leverages commercial processes, practices and technology to provide a wideband payload compatible with existing and future terminals. WGS provides an order of magnitude increase in communications bandwidth to our infrastructure users, Soldiers, Sailors, Airmen and Marines.","Wideband Global SATCOM (WGS)","Air Force"
"37","16-F-0402_DOC_26_AH-64E_New_Build_DEC_2015_SAR.pdf","The AH-64E Apache New Build (AH-64E New Build), hereinafter referred to as AH-64E, is the heavy attack helicopter of the current and future force. It is a twin engine, four-bladed, tandem seat, attack helicopter with 30-millimeter ammunition, 2.75- inch rockets, laser and radio frequency Hellfire missiles. The AH-64E is the Army's network-centric, multi-role weapon system within the Future Modular Force (FMF). It provides the capability to simultaneously conduct (or quickly transition between) close combat, mobile strike, armed reconnaissance, manned-unmanned teaming, security and vertical maneuver missions across the full spectrum of warfare from Stability and Support Operations to Major Combat Operations, when required, in day, night, obscured battlefield and adverse weather conditions. The AH-64E enables the Joint Air/Ground Maneuver Team to dominate the battle space by providing air-ground synergy through real-time Intelligence, Surveillance, and Reconnaissance (ISR) information and responsive precision fires. The AH-64E is linked to Joint and Combined Arms Air/Ground Maneuver Teams via Enhanced Digital Communications, Unmanned Aircraft Systems Data Links and Joint networking waveforms.","AH-64E Apache New Build (AH-64E New Build)","Army"
"38","16-F-0402_DOC_27_AH-64E_Remanufacture_DEC_2015_SAR.pdf","The AH-64E Apache Remanufacture (AH-64E Remanufacture), hereinafter referred to as AH-64E, is the heavy attack helicopter of the current and future force. It is a twin engine, four-bladed, tandem seat, attack helicopter with 30-millimeter ammunition, 2.75-inch rockets, laser and radio frequency Hellfire missiles. The AH-64E is the Army's network-centric, multi- role weapon system within the Future Modular Force (FMF). It provides the capability to simultaneously conduct (or quickly transition between) close combat, mobile strike, armed reconnaissance, Manned-Unmanned Teaming, security and vertical maneuver missions across the full spectrum of warfare from Stability and Support Operations to Major Combat Operations, when required, in day, night, obscured battlefield and adverse weather conditions. The AH-64E enables the Joint Air/Ground Maneuver Team to dominate the battle space by providing air-ground synergy through real-time Intelligence, Surveillance, and Reconnaissance (ISR) information and responsive precision fires. The AH-64E is linked to Joint and Combined Arms Air/Ground Maneuver Teams via Enhanced Digital Communications, Unmanned Aircraft Systems Data Links and Joint networking waveforms.","AH-64E Apache Remanufacture (AH-64E Remanufacture)","Army"
"39","16-F-0402_DOC_28_AMF_JTRS_DEC_2015_SAR.pdf","Airborne & Maritime/Fixed Station Joint Tactical Radio System (AMF JTRS) products are software programmable, multi- band, multi-mode, mobile ad hoc networking radios, providing simultaneous voice and data communications for Army aviation platforms. The radios will operate in networks supporting the Common Operational Picture, situational awareness, and interoperability of Mission Command systems throughout the battlefield. AMF must ensure the soldier's ability to communicate both horizontally and vertically via voice and data within all mission areas and Combat Operational Environments. AMF helps close capability gaps by extending data networking to company echelons and below, enabling network services to the platform, and connecting Army aviation platforms to Army ground and Joint air network domains.","Airborne & Maritime/Fixed Station Joint Tactical Radio System (AMF JTRS)","Army"
"40","16-F-0402_DOC_29_AMPV_DEC_2015_SAR.pdf","The Armored Multi-Purpose Vehicle (AMPV) is the materiel solution for replacement of the Army's M113 Armored Personnel Carrier Family of Vehicles (FoV) within the Armored Brigade Combat Team (ABCT). It will mitigate current and future capability gaps in force protection, mobility, reliability, and interoperability across the Spectrum of Conflict. The AMPV will replace five mission roles currently performed by the M113 FoV by transferring the current M113 Mission Equipment Packages to a new Military Vehicle Derivative platform. In total, the AMPV FoV will account for approximately 30% of the ABCT's tracked fleet and consists of the following five variants:","Armored Multi-Purpose Vehicle (AMPV)  DSN Fax:        786-7797","Army"
"41","16-F-0402_DOC_30_CH-47F_DEC_2015_SAR.pdf","The CH-47F Improved Cargo Helicopter (CH-47F) supports the Army's requirement to be strategically responsive across the full spectrum of operations. It will provide continued support, coverage, and sustainment of Maneuver, Fire Support, Air Defense, and Survivability mission areas. Its mission is transportation of ground forces, Class III/Class V supplies, and other battle critical cargo in support of all future contingencies. The CH-47F enables the Army to support the rapid response capability necessary for forcible and early entry contingency missions, as well as tactical and operational nonlinear, noncontiguous, simultaneous, or sequential operations, which will be characteristic of future operations.","CH-47F Improved Cargo Helicopter (CH-47F)","Army"
"42","16-F-0402_DOC_31_Excalibur_DEC_2015_SAR.pdf","Excalibur Precision 155-mm Projectiles (Excalibur) provide Brigade Combat Teams an organic precision fires capability. Additionally, it provides improved fire support capability due to its increased range of 40.5-kilometers (km) and demonstrated accuracy of less than three meters radial miss distances, which enables a first round effect on target reducing the number of rounds required and reducing collateral damage. Excalibur is compatible with the M777A2 Lightweight 155-mm Howitzer, the M109A6 Paladin Howitzer, the M109A7 Paladin Integrated Management Howitzer, and the Swedish Archer Howitzer. Excalibur provides a 35 percent range increase over current Rocket Assisted Projectiles with less than ten-meter circular error probable requirement at all ranges. Excalibur is also highly resistant to Global Positioning System jamming.","Excalibur Precision 155mm Projectiles (Excalibur)","Army"
